rank,player,log,lda,rf,gbc,dnn,avg
1,James Harden,0.691017985,0.686499413,0.654407519,0.663205882,0.704001125,0.679826385
2,Russell Westbrook,0.667353488,0.663517322,0.631043229,0.657418274,0.711098105,0.666086084
3,Giannis Antetokounmpo,0.64227022,0.639273655,0.630830061,0.662500583,0.66015502,0.647005908
4,Stephen Curry,0.655399959,0.651717657,0.623821612,0.629389893,0.66340408,0.64474664
5,LeBron James,0.644883246,0.641439919,0.610836413,0.631442769,0.67379946,0.640480361
6,Anthony Davis,0.664788276,0.661937886,0.585550581,0.606618834,0.662843623,0.63634784
7,Nikola Jokic,0.628631695,0.62578115,0.619823634,0.636337875,0.651887924,0.632492455
8,Kyrie Irving,0.629404877,0.626317133,0.611210241,0.6182138,0.642345809,0.625498372
9,Joel Embiid,0.62542593,0.622975882,0.607913992,0.614587866,0.630110287,0.620202791
10,Paul George,0.631556006,0.628318345,0.572540071,0.585975788,0.624826679,0.608643378
11,Damian Lillard,0.608341881,0.605065554,0.599765076,0.600646473,0.620422792,0.606848355
12,D'Angelo Russell,0.60624881,0.603423125,0.595751886,0.606294913,0.621935374,0.606730822
13,Nikola Vucevic,0.61466652,0.612581795,0.581205298,0.593924535,0.614801813,0.603435992
14,Karl-Anthony Towns,0.612091893,0.609737117,0.579366078,0.586202667,0.61411737,0.600303025
15,Kevin Durant,0.593029077,0.590568918,0.599597779,0.595232596,0.612812515,0.598248177
16,Kemba Walker,0.601763364,0.598853817,0.585686396,0.581306434,0.610546502,0.595631303
17,Kawhi Leonard,0.592791088,0.590804765,0.597738825,0.595410343,0.600978754,0.595544755
18,Chris Paul,0.599611842,0.596494349,0.575265077,0.591419407,0.592901184,0.591138372
19,Luka Doncic,0.586444978,0.583678533,0.589231054,0.596224047,0.590958749,0.589307472
20,Mike Conley,0.588745717,0.586201842,0.582670477,0.590547572,0.59285128,0.588203378
21,Kyle Lowry,0.593686509,0.590799701,0.560290523,0.574746993,0.585406624,0.58098607
22,Eric Bledsoe,0.567665369,0.565785477,0.565295458,0.575431956,0.570581658,0.568951983
23,Jrue Holiday,0.577482472,0.574723042,0.550460845,0.553439609,0.581372075,0.567495609
24,Blake Griffin,0.568836355,0.566393072,0.562099801,0.559645966,0.576432762,0.566681591
25,Bradley Beal,0.575458896,0.572997844,0.541327058,0.543841759,0.580456637,0.562816439
26,Jusuf Nurkic,0.562763147,0.561464195,0.551696881,0.56549023,0.571292984,0.562541487
27,Ben Simmons,0.551905945,0.550027179,0.565846066,0.563853966,0.569718192,0.56027027
28,De'Aaron Fox,0.561129557,0.558984384,0.565105269,0.557922954,0.557573567,0.560143146
29,Lou Williams,0.555514457,0.553508209,0.555929864,0.568037378,0.56655882,0.559909746
30,Trae Young,0.560209062,0.557665346,0.558134285,0.561002306,0.562316829,0.559865566
31,Danilo Gallinari,0.556897673,0.555128311,0.558910569,0.565840968,0.555652151,0.558485935
32,Al Horford,0.562843519,0.561353979,0.544839254,0.559376961,0.563989749,0.558480692
33,Rudy Gobert,0.566103301,0.564905514,0.547346778,0.553438829,0.560048785,0.558368642
34,Hassan Whiteside,0.571881899,0.571158247,0.538477216,0.55265469,0.552905958,0.557415602
35,Myles Turner,0.559272608,0.558342378,0.542063024,0.54588425,0.555096938,0.55213184
36,Marc Gasol,0.556905003,0.555246366,0.538313728,0.543925118,0.563293996,0.551536842
37,Khris Middleton,0.552467115,0.550625683,0.543553802,0.555354569,0.549495574,0.550299349
38,Buddy Hield,0.55105106,0.549285303,0.551013076,0.548862989,0.549690408,0.549980567
39,Jeff Teague,0.554639853,0.553023252,0.547051898,0.546681307,0.533516637,0.546982589
40,Draymond Green,0.543201263,0.541574403,0.533610944,0.552322713,0.56250984,0.546643833
41,Devin Booker,0.537821817,0.535366041,0.560529666,0.53844885,0.55365554,0.545164383
42,Nikola Mirotic,0.547458814,0.545617828,0.542764638,0.544294472,0.541074288,0.544242008
43,Mitchell Robinson,0.553124723,0.552762396,0.534974526,0.532611218,0.546604861,0.544015545
