rank,player,log,lda,rf,gbc,dnn,avg
1,James Harden,53.8994028,53.54695425,51.04378649,51.73005883,54.91208775,53.02645802
2,Nikola Jokic,50.29053557,50.06249199,49.58589072,50.90702997,52.15103391,50.59939643
3,D'Angelo Russell,49.10615364,48.87727315,48.25590274,49.10988796,50.37676529,49.14519655
4,Kemba Walker,49.34459588,49.10601296,48.02628448,47.66712759,50.06481312,48.84176681
5,Russell Westbrook,48.71680459,48.43676451,46.06615571,47.99153399,51.91016167,48.6242841
6,Damian Lillard,48.66735051,48.40524434,47.98120607,48.05171786,49.63382334,48.54786842
7,Nikola Vucevic,49.17332164,49.0065436,46.49642384,47.51396276,49.18414501,48.27487937
8,Paul George,48.62981243,48.38051258,44.08558546,45.12013569,48.11165432,46.8655401
9,Kevin Durant,46.25626802,46.06437557,46.76862678,46.42814248,47.7993762,46.66335781
10,Giannis Antetokounmpo,46.24345587,46.02770314,45.41976441,47.70004195,47.53116144,46.58442536
11,Karl-Anthony Towns,47.13107578,46.94975797,44.61118797,45.13760537,47.28703752,46.22333292
12,Bradley Beal,47.18762945,46.98582323,44.38881873,44.59502425,47.59744426,46.15094798
13,De'Aaron Fox,45.45149412,45.27773513,45.77352678,45.1917593,45.16345897,45.37159486
14,Trae Young,45.37693405,45.170893,45.20887706,45.44118681,45.54766316,45.34911082
15,Rudy Gobert,45.85436742,45.75734665,44.33508902,44.82854514,45.36395162,45.22785997
16,Buddy Hield,45.18618692,45.04139486,45.18307225,45.00676511,45.07461344,45.09840652
17,Stephen Curry,45.22259715,44.9685183,43.04369126,43.42790262,45.77488154,44.48751817
18,Eric Bledsoe,44.27789875,44.13126718,44.09304573,44.88369255,44.5053693,44.3782547
19,Ben Simmons,43.60056963,43.45214718,44.70183921,44.54446334,45.00773714,44.2613513
20,Brook Lopez,44.21496538,44.11799664,43.26398037,43.94581234,44.02061898,43.91267474
21,Terrence Ross,43.33479775,43.23713063,44.17102096,43.94433243,43.40277702,43.61801176
22,Marc Gasol,43.99549522,43.86446295,42.52678455,42.97008434,44.50022565,43.57141054
23,Montrezl Harrell,43.07050002,43.02153036,43.37443534,43.56133626,43.11192836,43.22794607
